Freq.	(V(v)/(-V(I)))*1000
1.00000000000000e+01	(6.00085974079756e+01dB,4.39870047841900e-04°)
1.02329299228075e+01	(6.00085974080068e+01dB,4.50115935852583e-04°)
1.04712854805090e+01	(6.00085974080391e+01dB,4.60600481461498e-04°)
1.07151930523761e+01	(6.00085974080733e+01dB,4.71329243372693e-04°)
1.09647819614318e+01	(6.00085974081090e+01dB,4.82307910569953e-04°)
1.12201845430196e+01	(6.00085974081462e+01dB,4.93542301201443e-04°)
1.14815362149688e+01	(6.00085974081857e+01dB,5.05038374706718e-04°)
1.17489755493953e+01	(6.00085974082268e+01dB,5.16802230025483e-04°)
1.20226443461741e+01	(6.00085974082693e+01dB,5.28840094180007e-04°)
1.23026877081238e+01	(6.00085974083140e+01dB,5.41158359881547e-04°)
1.25892541179417e+01	(6.00085974083610e+01dB,5.53763555418601e-04°)
1.28824955169313e+01	(6.00085974084105e+01dB,5.66662365774535e-04°)
1.31825673855641e+01	(6.00085974084620e+01dB,5.79861625484174e-04°)
1.34896288259165e+01	(6.00085974085158e+01dB,5.93368336190139e-04°)
1.38038426460288e+01	(6.00085974085723e+01dB,6.07189660036961e-04°)
1.41253754462275e+01	(6.00085974086318e+01dB,6.21332919569095e-04°)
1.44543977074593e+01	(6.00085974086934e+01dB,6.35805621563551e-04°)
1.47910838816821e+01	(6.00085974087583e+01dB,6.50615435873218e-04°)
1.51356124843621e+01	(6.00085974088267e+01dB,6.65770211522825e-04°)
1.54881661891248e+01	(6.00085974088975e+01dB,6.81277991543259e-04°)
1.58489319246111e+01	(6.00085974089716e+01dB,6.97146991773268e-04°)
1.62181009735893e+01	(6.00085974090496e+01dB,7.13385628505917e-04°)
1.65958690743756e+01	(6.00085974091310e+01dB,7.30002512816716e-04°)
1.69824365246174e+01	(6.00085974092162e+01dB,7.47006454841148e-04°)
1.73780082874937e+01	(6.00085974093060e+01dB,7.64406472238721e-04°)
1.77827941003892e+01	(6.00085974093998e+01dB,7.82211783221494e-04°)
1.81970085860998e+01	(6.00085974094976e+01dB,8.00431833234770e-04°)
1.86208713666287e+01	(6.00085974096003e+01dB,8.19076283202494e-04°)
1.90546071796325e+01	(6.00085974097081e+01dB,8.38155019708536e-04°)
1.94984459975804e+01	(6.00085974098207e+01dB,8.57678155712923e-04°)
1.99526231496888e+01	(6.00085974099382e+01dB,8.77656046946202e-04°)
2.04173794466953e+01	(6.00085974100618e+01dB,8.98099279005853e-04°)
2.08929613085404e+01	(6.00085974101914e+01dB,9.19018699115829e-04°)
2.13796208950223e+01	(6.00085974103264e+01dB,9.40425393020778e-04°)
2.18776162394955e+01	(6.00085974104685e+01dB,9.62330715020565e-04°)
2.23872113856834e+01	(6.00085974106165e+01dB,9.84746273164053e-04°)
2.29086765276777e+01	(6.00085974107716e+01dB,1.00768395696536e-03°)
2.34422881531992e+01	(6.00085974109347e+01dB,1.03115593317212e-03°)
2.39883291901949e+01	(6.00085974111054e+01dB,1.05517464027264e-03°)
2.45470891568503e+01	(6.00085974112835e+01dB,1.07975281198426e-03°)
2.51188643150958e+01	(6.00085974114704e+01dB,1.10490348484946e-03°)
2.57039578276886e+01	(6.00085974116660e+01dB,1.13063999140888e-03°)
2.63026799189538e+01	(6.00085974118710e+01dB,1.15697597929231e-03°)
2.69153480392691e+01	(6.00085974120857e+01dB,1.18392541095536e-03°)
2.75422870333816e+01	(6.00085974123103e+01dB,1.21150257788881e-03°)
2.81838293126445e+01	(6.00085974125453e+01dB,1.23972209522448e-03°)
