Freq.	((V(v))/(-V(i)))*1000
1.00000000000000e+02	(5.71965425361402e+01dB,-8.99938262275643e+01°)
1.02329299228075e+02	(5.69965425390684e+01dB,-8.99936824255091e+01°)
1.04712854805090e+02	(5.67965425420600e+01dB,-8.99935352643219e+01°)
1.07151930523761e+02	(5.65965425448808e+01dB,-8.99933847006890e+01°)
1.09647819614318e+02	(5.63965425480294e+01dB,-8.99932305864831e+01°)
1.12201845430196e+02	(5.61965425528789e+01dB,-8.99930729237232e+01°)
1.14815362149688e+02	(5.59965425568694e+01dB,-8.99929115599967e+01°)
1.17489755493953e+02	(5.57965425595503e+01dB,-8.99927464742820e+01°)
1.20226443461741e+02	(5.55965425634117e+01dB,-8.99925774877603e+01°)
1.23026877081238e+02	(5.53965425676574e+01dB,-8.99924046101371e+01°)
1.25892541179417e+02	(5.51965425722292e+01dB,-8.99922276812902e+01°)
1.28824955169313e+02	(5.49965425758320e+01dB,-8.99920466433043e+01°)
1.31825673855641e+02	(5.47965425811350e+01dB,-8.99918613833695e+01°)
1.34896288259165e+02	(5.45965425865498e+01dB,-8.99916718140397e+01°)
1.38038426460288e+02	(5.43965425916187e+01dB,-8.99914778514480e+01°)
1.41253754462275e+02	(5.41965425963928e+01dB,-8.99912793212633e+01°)
1.44543977074593e+02	(5.39965426020357e+01dB,-8.99910761855440e+01°)
1.47910838816821e+02	(5.37965426079597e+01dB,-8.99908683095663e+01°)
1.51356124843621e+02	(5.35965426146318e+01dB,-8.99906556164489e+01°)
1.54881661891248e+02	(5.33965426217149e+01dB,-8.99904379580389e+01°)
1.58489319246111e+02	(5.31965426282726e+01dB,-8.99902152170679e+01°)
1.62181009735893e+02	(5.29965426348605e+01dB,-8.99899873191113e+01°)
1.65958690743756e+02	(5.27965426435204e+01dB,-8.99897541244058e+01°)
1.69824365246174e+02	(5.25965426518357e+01dB,-8.99895154319673e+01°)
1.73780082874937e+02	(5.23965426588200e+01dB,-8.99892712223003e+01°)
1.77827941003892e+02	(5.21965426673477e+01dB,-8.99890213334167e+01°)
1.81970085860998e+02	(5.19965426767836e+01dB,-8.99887655989675e+01°)
1.86208713666287e+02	(5.17965426871315e+01dB,-8.99885038935838e+01°)
1.90546071796325e+02	(5.15965426965941e+01dB,-8.99882361370564e+01°)
1.94984459975804e+02	(5.13965427064047e+01dB,-8.99879621026410e+01°)
1.99526231496888e+02	(5.11965427181597e+01dB,-8.99876817096738e+01°)
2.04173794466953e+02	(5.09965427291246e+01dB,-8.99873947731429e+01°)
2.08929613085404e+02	(5.07965427401001e+01dB,-8.99871011642278e+01°)
2.13796208950223e+02	(5.05965427555951e+01dB,-8.99868007262925e+01°)
2.18776162394955e+02	(5.03965427666402e+01dB,-8.99864932672084e+01°)
2.23872113856834e+02	(5.01965427816886e+01dB,-8.99861786556653e+01°)
2.29086765276777e+02	(4.99965427952999e+01dB,-8.99858567315647e+01°)
2.34422881531992e+02	(4.97965428083789e+01dB,-8.99855272811572e+01°)
2.39883291901949e+02	(4.95965428252615e+01dB,-8.99851901760123e+01°)
2.45470891568503e+02	(4.93965428420229e+01dB,-8.99848452339229e+01°)
2.51188643150958e+02	(4.91965428592354e+01dB,-8.99844922006067e+01°)
2.57039578276886e+02	(4.89965428765226e+01dB,-8.99841309676662e+01°)
2.63026799189538e+02	(4.87965428957855e+01dB,-8.99837613843602e+01°)
2.69153480392691e+02	(4.85965429147593e+01dB,-8.99833830874006e+01°)
2.75422870333816e+02	(4.83965429369236e+01dB,-8.99829960528552e+01°)
2.81838293126445e+02	(4.81965429558865e+01dB,-8.99826000103244e+01°)
2.88403150312660e+02	(4.79965429801326e+01dB,-8.99821946969605e+01°)
2.95120922666638e+02	(4.77965430017232e+01dB,-8.99817799399222e+01°)
3.01995172040201e+02	(4.75965430322576e+01dB,-8.99813555556273e+01°)
3.09029543251359e+02	(4.73965430540705e+01dB,-8.99809212491513e+01°)
3.16227766016837e+02	(4.71965430813932e+01dB,-8.99804768621801e+01°)
3.23593656929628e+02	(4.69965431116623e+01dB,-8.99800220892148e+01°)
3.31131121482591e+02	(4.67965431475139e+01dB,-8.99795567253742e+01°)
3.38844156139202e+02	(4.65965431702821e+01dB,-8.99790805738190e+01°)
3.46736850452531e+02	(4.63965432031661e+01dB,-8.99785933297423e+01°)
3.54813389233575e+02	(4.61965432383333e+01dB,-8.99780946883436e+01°)
3.63078054770101e+02	(4.59965432758761e+01dB,-8.99775844306564e+01°)
3.71535229097172e+02	(4.57965433171632e+01dB,-8.99770623456688e+01°)
3.80189396320561e+02	(4.55965433559963e+01dB,-8.99765280666309e+01°)
3.89045144994280e+02	(4.53965433952697e+01dB,-8.99759813040696e+01°)
3.98107170553497e+02	(4.51965434391823e+01dB,-8.99754218551158e+01°)
4.07380277804112e+02	(4.49965434812891e+01dB,-8.99748493776004e+01°)
4.16869383470335e+02	(4.47965435273400e+01dB,-8.99742635425784e+01°)
4.26579518801592e+02	(4.45965435787928e+01dB,-8.99736640451860e+01°)
4.36515832240165e+02	(4.43965436328361e+01dB,-8.99730505889196e+01°)
4.46683592150962e+02	(4.41965436864888e+01dB,-8.99724229128276e+01°)
4.57088189614874e+02	(4.39965437527498e+01dB,-8.99717805364964e+01°)
4.67735141287197e+02	(4.37965437993993e+01dB,-8.99711232312629e+01°)
4.78630092322637e+02	(4.35965438593821e+01dB,-8.99704506256486e+01°)
4.89778819368445e+02	(4.33965439284190e+01dB,-8.99697623091840e+01°)
5.01187233627271e+02	(4.31965440034764e+01dB,-8.99690579766876e+01°)
5.12861383991364e+02	(4.29965440706617e+01dB,-8.99683372903999e+01°)
5.24807460249771e+02	(4.27965441511017e+01dB,-8.99675997413676e+01°)
5.37031796370252e+02	(4.25965442326514e+01dB,-8.99668450792066e+01°)
5.49540873857623e+02	(4.23965443075414e+01dB,-8.99660727948805e+01°)
5.62341325190348e+02	(4.21965444037526e+01dB,-8.99652825543101e+01°)
5.75439937337155e+02	(4.19965444953455e+01dB,-8.99644738567249e+01°)
5.88843655355588e+02	(4.17965445797645e+01dB,-8.99636463593269e+01°)
6.02559586074356e+02	(4.15965446784920e+01dB,-8.99627996227819e+01°)
6.16595001861481e+02	(4.13965447779384e+01dB,-8.99619331168119e+01°)
6.30957344480192e+02	(4.11965448949893e+01dB,-8.99610464400374e+01°)
6.45654229034654e+02	(4.09965450177251e+01dB,-8.99601391199987e+01°)
6.60693448007594e+02	(4.07965451293219e+01dB,-8.99592106679208e+01°)
6.76082975391980e+02	(4.05965452556233e+01dB,-8.99582605877678e+01°)
6.91830970918935e+02	(4.03965453865380e+01dB,-8.99572883208244e+01°)
7.07945784384136e+02	(4.01965455245071e+01dB,-8.99562934914510e+01°)
7.24435960074988e+02	(3.99965456690041e+01dB,-8.99552754552349e+01°)
7.41310241300916e+02	(3.97965458158528e+01dB,-8.99542336958664e+01°)
7.58577575029182e+02	(3.95965459704253e+01dB,-8.99531676819699e+01°)
7.76247116628690e+02	(3.93965461388766e+01dB,-8.99520768735673e+01°)
7.94328234724279e+02	(3.91965463132668e+01dB,-8.99509605938028e+01°)
8.12830516164097e+02	(3.89965464868236e+01dB,-8.99498183614836e+01°)
8.31763771102669e+02	(3.87965466859029e+01dB,-8.99486495000083e+01°)
8.51138038202374e+02	(3.85965468767332e+01dB,-8.99474534368677e+01°)
8.70963589956078e+02	(3.83965470871183e+01dB,-8.99462295177374e+01°)
8.91250938133743e+02	(3.81965473043703e+01dB,-8.99449770737034e+01°)
9.12010839355907e+02	(3.79965475275536e+01dB,-8.99436954621409e+01°)
9.33254300796988e+02	(3.77965477739528e+01dB,-8.99423840001251e+01°)
9.54992586021433e+02	(3.75965480214221e+01dB,-8.99410420037763e+01°)
9.77237220955808e+02	(3.73965482767180e+01dB,-8.99396687459156e+01°)
9.99999999999997e+02	(3.71965485579951e+01dB,-8.99382635012170e+01°)
1.02329299228075e+03	(3.69965488344097e+01dB,-8.99368255353314e+01°)
1.04712854805090e+03	(3.67965491466703e+01dB,-8.99353540697656e+01°)
1.07151930523760e+03	(3.65965494494925e+01dB,-8.99338483464073e+01°)
1.09647819614318e+03	(3.63965497802922e+01dB,-8.99323075469601e+01°)
1.12201845430196e+03	(3.61965501213047e+01dB,-8.99307308661814e+01°)
1.14815362149688e+03	(3.59965504999544e+01dB,-8.99291174599386e+01°)
1.17489755493953e+03	(3.57965508709538e+01dB,-8.99274664752829e+01°)
1.20226443461741e+03	(3.55965512471391e+01dB,-8.99257770614487e+01°)
1.23026877081238e+03	(3.53965516716122e+01dB,-8.99240482821220e+01°)
1.25892541179416e+03	(3.51965521108124e+01dB,-8.99222792418310e+01°)
1.28824955169313e+03	(3.49965525619859e+01dB,-8.99204690180716e+01°)
1.31825673855640e+03	(3.47965530356290e+01dB,-8.99186166298700e+01°)
1.34896288259165e+03	(3.45965535364372e+01dB,-8.99167210919931e+01°)
1.38038426460288e+03	(3.43965540659963e+01dB,-8.99147813834056e+01°)
1.41253754462275e+03	(3.41965546025759e+01dB,-8.99127965928062e+01°)
1.44543977074592e+03	(3.39965551761373e+01dB,-8.99107654878775e+01°)
1.47910838816820e+03	(3.37965557788640e+01dB,-8.99086871695017e+01°)
1.51356124843620e+03	(3.35965564006613e+01dB,-8.99065603912321e+01°)
1.54881661891248e+03	(3.33965570518747e+01dB,-8.99043841153241e+01°)
1.58489319246111e+03	(3.31965577582465e+01dB,-8.99021571479775e+01°)
1.62181009735892e+03	(3.29965584659998e+01dB,-8.98998782955011e+01°)
1.65958690743755e+03	(3.27965592218013e+01dB,-8.98975464325655e+01°)
1.69824365246174e+03	(3.25965599997948e+01dB,-8.98951602347040e+01°)
1.73780082874937e+03	(3.23965608354745e+01dB,-8.98927184896788e+01°)
1.77827941003892e+03	(3.21965617044724e+01dB,-8.98902198851784e+01°)
1.81970085860998e+03	(3.19965626114232e+01dB,-8.98876631533782e+01°)
1.86208713666286e+03	(3.17965635609233e+01dB,-8.98850467815260e+01°)
