Freq.	((V(v))/(-V(i)))*1000
1.00000000000000e+02	(1.71966908700679e+01dB,-8.96632615342437e+01°)
1.02329299228075e+02	(1.69966976793571e+01dB,-8.96554180699210e+01°)
1.04712854805090e+02	(1.67967048095464e+01dB,-8.96473919207870e+01°)
1.07151930523761e+02	(1.65967122757727e+01dB,-8.96391788330055e+01°)
1.09647819614318e+02	(1.63967200938217e+01dB,-8.96307744521612e+01°)
1.12201845430196e+02	(1.61967282803400e+01dB,-8.96221743246040e+01°)
1.14815362149688e+02	(1.59967368526501e+01dB,-8.96133738911736e+01°)
1.17489755493953e+02	(1.57967458289298e+01dB,-8.96043684879032e+01°)
1.20226443461741e+02	(1.55967552282353e+01dB,-8.95951533416256e+01°)
1.23026877081238e+02	(1.53967650705074e+01dB,-8.95857235682405e+01°)
1.25892541179417e+02	(1.51967753765957e+01dB,-8.95760741693775e+01°)
1.28824955169313e+02	(1.49967861683753e+01dB,-8.95662000321847e+01°)
1.31825673855641e+02	(1.47967974687171e+01dB,-8.95560959221437e+01°)
1.34896288259165e+02	(1.45968093015987e+01dB,-8.95457564851411e+01°)
1.38038426460288e+02	(1.43968216921122e+01dB,-8.95351762416408e+01°)
1.41253754462275e+02	(1.41968346665221e+01dB,-8.95243495844943e+01°)
1.44543977074593e+02	(1.39968482523606e+01dB,-8.95132707765776e+01°)
1.47910838816821e+02	(1.37968624784418e+01dB,-8.95019339466291e+01°)
1.51356124843621e+02	(1.35968773749127e+01dB,-8.94903330871284e+01°)
1.54881661891248e+02	(1.33968929733835e+01dB,-8.94784620512280e+01°)
1.58489319246111e+02	(1.31969093069193e+01dB,-8.94663145485839e+01°)
1.62181009735893e+02	(1.29969264101673e+01dB,-8.94538841428061e+01°)
1.65958690743756e+02	(1.27969443193773e+01dB,-8.94411642475129e+01°)
1.69824365246174e+02	(1.25969630725559e+01dB,-8.94281481230570e+01°)
1.73780082874937e+02	(1.23969827094621e+01dB,-8.94148288735643e+01°)
1.77827941003892e+02	(1.21970032717135e+01dB,-8.94011994431143e+01°)
1.81970085860998e+02	(1.19970248029332e+01dB,-8.93872526104860e+01°)
1.86208713666287e+02	(1.17970473487540e+01dB,-8.93729809881268e+01°)
1.90546071796325e+02	(1.15970709570031e+01dB,-8.93583770149917e+01°)
1.94984459975804e+02	(1.13970956777429e+01dB,-8.93434329558793e+01°)
1.99526231496888e+02	(1.11971215633659e+01dB,-8.93281408950323e+01°)
2.04173794466953e+02	(1.09971486687703e+01dB,-8.93124927326989e+01°)
2.08929613085404e+02	(1.07971770514282e+01dB,-8.92964801820382e+01°)
2.13796208950223e+02	(1.05972067715198e+01dB,-8.92800947614881e+01°)
2.18776162394955e+02	(1.03972378920249e+01dB,-8.92633277935884e+01°)
2.23872113856834e+02	(1.01972704789645e+01dB,-8.92461704011016e+01°)
2.29086765276777e+02	(9.99730460140716e+00dB,-8.92286134976397e+01°)
2.34422881531992e+02	(9.79734033168717e+00dB,-8.92106477876217e+01°)
2.39883291901949e+02	(9.59737774555398e+00dB,-8.91922637591079e+01°)
2.45470891568503e+02	(9.39741692233182e+00dB,-8.91734516790852e+01°)
2.51188643150958e+02	(9.19745794504514e+00dB,-8.91542015886869e+01°)
2.57039578276886e+02	(8.99750090067181e+00dB,-8.91345032998799e+01°)
2.63026799189538e+02	(8.79754588026464e+00dB,-8.91143463846359e+01°)
2.69153480392691e+02	(8.59759297916734e+00dB,-8.90937201758246e+01°)
2.75422870333816e+02	(8.39764229718821e+00dB,-8.90726137575507e+01°)
2.81838293126445e+02	(8.19769393887630e+00dB,-8.90510159621052e+01°)
2.88403150312660e+02	(7.99774801368551e+00dB,-8.90289153614563e+01°)
2.95120922666638e+02	(7.79780463620552e+00dB,-8.90063002626857e+01°)
3.01995172040201e+02	(7.59786392643777e+00dB,-8.89831587035360e+01°)
3.09029543251359e+02	(7.39792601002596e+00dB,-8.89594784425715e+01°)
3.16227766016837e+02	(7.19799101853318e+00dB,-8.89352469558110e+01°)
3.23593656929628e+02	(6.99805908971839e+00dB,-8.89104514294470e+01°)
3.31131121482591e+02	(6.79813036780472e+00dB,-8.88850787536339e+01°)
3.38844156139202e+02	(6.59820500381404e+00dB,-8.88591155126549e+01°)
3.46736850452531e+02	(6.39828315589044e+00dB,-8.88325479829426e+01°)
3.54813389233575e+02	(6.19836498959299e+00dB,-8.88053621233756e+01°)
3.63078054770101e+02	(5.99845067826896e+00dB,-8.87775435640584e+01°)
3.71535229097172e+02	(5.79854040344366e+00dB,-8.87490776108540e+01°)
3.80189396320561e+02	(5.59863435517563e+00dB,-8.87199492224612e+01°)
3.89045144994280e+02	(5.39873273243722e+00dB,-8.86901430146034e+01°)
3.98107170553497e+02	(5.19883574359478e+00dB,-8.86596432466304e+01°)
4.07380277804112e+02	(4.99894360679598e+00dB,-8.86284338133683e+01°)
4.16869383470335e+02	(4.79905655044661e+00dB,-8.85964982405668e+01°)
4.26579518801592e+02	(4.59917481368111e+00dB,-8.85638196724812e+01°)
4.36515832240165e+02	(4.39929864690617e+00dB,-8.85303808646268e+01°)
4.46683592150962e+02	(4.19942831227459e+00dB,-8.84961641787178e+01°)
4.57088189614874e+02	(3.99956408425568e+00dB,-8.84611515654909e+01°)
4.67735141287197e+02	(3.79970625023561e+00dB,-8.84253245629769e+01°)
4.78630092322637e+02	(3.59985511111093e+00dB,-8.83886642841644e+01°)
4.89778819368445e+02	(3.40001098187760e+00dB,-8.83511514099573e+01°)
5.01187233627271e+02	(3.20017419237959e+00dB,-8.83127661748220e+01°)
5.12861383991364e+02	(3.00034508790308e+00dB,-8.82734883593274e+01°)
5.24807460249771e+02	(2.80052402998866e+00dB,-8.82332972850006e+01°)
5.37031796370252e+02	(2.60071139713441e+00dB,-8.81921717924366e+01°)
5.49540873857623e+02	(2.40090758559580e+00dB,-8.81500902459368e+01°)
5.62341325190348e+02	(2.20111301024422e+00dB,-8.81070305077374e+01°)
5.75439937337155e+02	(2.00132810541575e+00dB,-8.80629699361086e+01°)
5.88843655355588e+02	(1.80155332583439e+00dB,-8.80178853752740e+01°)
6.02559586074356e+02	(1.60178914753892e+00dB,-8.79717531346703e+01°)
6.16595001861481e+02	(1.40203606888728e+00dB,-8.79245489901994e+01°)
6.30957344480192e+02	(1.20229461161402e+00dB,-8.78762481638712e+01°)
6.45654229034654e+02	(1.00256532192110e+00dB,-8.78268253119753e+01°)
6.60693448007594e+02	(8.02848771581087e-01dB,-8.77762545187075e+01°)
6.76082975391980e+02	(6.03145559174197e-01dB,-8.77245092758746e+01°)
6.91830970918935e+02	(4.03456311314387e-01dB,-8.76715624777524e+01°)
7.07945784384136e+02	(2.03781683941575e-01dB,-8.76173864019189e+01°)
7.24435960074988e+02	(4.12236372540956e-03dB,-8.75619527031912e+01°)
7.41310241300916e+02	(-1.95520930586767e-01dB,-8.75052323960779e+01°)
7.58577575029182e+02	(-3.95147446545498e-01dB,-8.74471958363624e+01°)
7.76247116628690e+02	(-5.94756396572834e-01dB,-8.73878127197781e+01°)
7.94328234724279e+02	(-7.94346956266283e-01dB,-8.73270520561148e+01°)
8.12830516164097e+02	(-9.93918262689990e-01dB,-8.72648821620787e+01°)
8.31763771102669e+02	(-1.19346941262014e+00dB,-8.72012706472906e+01°)
8.51138038202374e+02	(-1.39299946064979e+00dB,-8.71361843917654e+01°)
8.70963589956078e+02	(-1.59250741726136e+00dB,-8.70695895447130e+01°)
8.91250938133743e+02	(-1.79199224678096e+00dB,-8.70014514992062e+01°)
9.12010839355907e+02	(-1.99145286521582e+00dB,-8.69317348730369e+01°)
9.33254300796988e+02	(-2.19088813811481e+00dB,-8.68604035098006e+01°)
9.54992586021433e+02	(-2.39029687817474e+00dB,-8.67874204514218e+01°)
9.77237220955808e+02	(-2.58967784281169e+00dB,-8.67127479250739e+01°)
9.99999999999997e+02	(-2.78902973165200e+00dB,-8.66363473258667e+01°)
1.02329299228075e+03	(-2.98835118383623e+00dB,-8.65581792052035e+01°)
1.04712854805090e+03	(-3.18764077532075e+00dB,-8.64782032515432e+01°)
1.07151930523760e+03	(-3.38689701594239e+00dB,-8.63963782769257e+01°)
1.09647819614318e+03	(-3.58611834632193e+00dB,-8.63126621930154e+01°)
1.12201845430196e+03	(-3.78530313491659e+00dB,-8.62270120145473e+01°)
1.14815362149688e+03	(-3.98444967446863e+00dB,-8.61393838145639e+01°)
1.17489755493953e+03	(-4.18355617878695e+00dB,-8.60497327321730e+01°)
1.20226443461741e+03	(-4.38262077902625e+00dB,-8.59580129456187e+01°)
1.23026877081238e+03	(-4.58164151994026e+00dB,-8.58641776495627e+01°)
1.25892541179416e+03	(-4.78061635615771e+00dB,-8.57681790647643e+01°)
1.28824955169313e+03	(-4.97954314786626e+00dB,-8.56699683867156e+01°)
1.31825673855640e+03	(-5.17841965663565e+00dB,-8.55694957911686e+01°)
1.34896288259165e+03	(-5.37724354115742e+00dB,-8.54667104198025e+01°)
1.38038426460288e+03	(-5.57601235238525e+00dB,-8.53615603515432e+01°)
1.41253754462275e+03	(-5.77472352880412e+00dB,-8.52539925935345e+01°)
1.44543977074592e+03	(-5.97337439151535e+00dB,-8.51439530708433e+01°)
1.47910838816820e+03	(-6.17196213890617e+00dB,-8.50313866032386e+01°)
1.51356124843620e+03	(-6.37048384116779e+00dB,-8.49162368941106e+01°)
1.54881661891248e+03	(-6.56893643476298e+00dB,-8.47984465157469e+01°)
1.58489319246111e+03	(-6.76731671636364e+00dB,-8.46779568943878e+01°)
1.62181009735892e+03	(-6.96562133693472e+00dB,-8.45547083045958e+01°)
1.65958690743755e+03	(-7.16384679495889e+00dB,-8.44286398353110e+01°)
1.69824365246174e+03	(-7.36198943031397e+00dB,-8.42996894119156e+01°)
1.73780082874937e+03	(-7.56004541684692e+00dB,-8.41677937473932e+01°)
1.77827941003892e+03	(-7.75801075565073e+00dB,-8.40328883671630e+01°)
1.81970085860998e+03	(-7.95588126709538e+00dB,-8.38949075613442e+01°)
1.86208713666286e+03	(-8.15365258373971e+00dB,-8.37537844230244e+01°)
1.90546071796324e+03	(-8.35132014151976e+00dB,-8.36094507898648e+01°)
1.94984459975804e+03	(-8.54887917212062e+00dB,-8.34618372823174e+01°)
1.99526231496887e+03	(-8.74632469375872e+00dB,-8.33108732659468e+01°)
2.04173794466952e+03	(-8.94365150261846e+00dB,-8.31564868701382e+01°)
2.08929613085403e+03	(-9.14085416343794e+00dB,-8.29986049806816e+01°)
2.13796208950222e+03	(-9.33792699955958e+00dB,-8.28371532236532e+01°)
2.18776162394954e+03	(-9.53486408361124e+00dB,-8.26720559977164e+01°)
2.23872113856833e+03	(-9.73165922641807e+00dB,-8.25032364405408e+01°)
2.29086765276776e+03	(-9.92830596722239e+00dB,-8.23306164764320e+01°)
2.34422881531991e+03	(-1.01247975618524e+01dB,-8.21541167864715e+01°)
2.39883291901948e+03	(-1.03211269720672e+01dB,-8.19736568496979e+01°)
2.45470891568502e+03	(-1.05172868532950e+01dB,-8.17891549326012e+01°)
2.51188643150957e+03	(-1.07132695429015e+01dB,-8.16005281216820e+01°)
2.57039578276885e+03	(-1.09090670477219e+01dB,-8.14076923404086e+01°)
2.63026799189537e+03	(-1.11046710312426e+01dB,-8.12105623703432e+01°)
2.69153480392690e+03	(-1.13000728004035e+01dB,-8.10090518747960e+01°)
2.75422870333815e+03	(-1.14952632922215e+01dB,-8.08030734343322e+01°)
2.81838293126444e+03	(-1.16902330601765e+01dB,-8.05925385906481e+01°)
2.88403150312659e+03	(-1.18849722595664e+01dB,-8.03773578639995e+01°)
2.95120922666637e+03	(-1.20794706331934e+01dB,-8.01574408049036e+01°)
3.01995172040200e+03	(-1.22737174973067e+01dB,-7.99326960706800e+01°)
3.09029543251358e+03	(-1.24677017255586e+01dB,-7.97030314411422e+01°)
3.16227766016836e+03	(-1.26614117340618e+01dB,-7.94683538955744e+01°)
3.23593656929627e+03	(-1.28548354657218e+01dB,-7.92285696753905e+01°)
3.31131121482590e+03	(-1.30479603748475e+01dB,-7.89835843696105e+01°)
3.38844156139201e+03	(-1.32407734107214e+01dB,-7.87333029814303e+01°)
3.46736850452530e+03	(-1.34332610014825e+01dB,-7.84776300119104e+01°)
3.54813389233574e+03	(-1.36254090379169e+01dB,-7.82164695600186e+01°)
3.63078054770100e+03	(-1.38172028572532e+01dB,-7.79497254250064e+01°)
3.71535229097171e+03	(-1.40086272264156e+01dB,-7.76773012066431e+01°)
3.80189396320559e+03	(-1.41996663259671e+01dB,-7.73991004299658e+01°)
3.89045144994279e+03	(-1.43903037340209e+01dB,-7.71150266799679e+01°)
3.98107170553495e+03	(-1.45805224096086e+01dB,-7.68249837189680e+01°)
4.07380277804111e+03	(-1.47703046772431e+01dB,-7.65288756469988e+01°)
4.16869383470333e+03	(-1.49596322109046e+01dB,-7.62266070456345e+01°)
4.26579518801590e+03	(-1.51484860190072e+01dB,-7.59180831471625e+01°)
4.36515832240164e+03	(-1.53368464307291e+01dB,-7.56032100395316e+01°)
4.46683592150961e+03	(-1.55246930799843e+01dB,-7.52818948027634e+01°)
4.57088189614873e+03	(-1.57120048926919e+01dB,-7.49540457250526e+01°)
4.67735141287196e+03	(-1.58987600754568e+01dB,-7.46195725487353e+01°)
4.78630092322636e+03	(-1.60849361026125e+01dB,-7.42783866564489e+01°)
4.89778819368444e+03	(-1.62705097051135e+01dB,-7.39304012939554e+01°)
5.01187233627270e+03	(-1.64554568626515e+01dB,-7.35755318529032e+01°)
5.12861383991362e+03	(-1.66397527949185e+01dB,-7.32136961102557e+01°)
5.24807460249770e+03	(-1.68233719550828e+01dB,-7.28448144974381e+01°)
5.37031796370250e+03	(-1.70062880244528e+01dB,-7.24688103711410e+01°)
5.49540873857622e+03	(-1.71884739113422e+01dB,-7.20856103474758e+01°)
5.62341325190346e+03	(-1.73699017494738e+01dB,-7.16951445852373e+01°)
5.75439937337154e+03	(-1.75505428962107e+01dB,-7.12973470503851e+01°)
5.88843655355586e+03	(-1.77303679430267e+01dB,-7.08921559676917e+01°)
6.02559586074354e+03	(-1.79093467158166e+01dB,-7.04795140425241e+01°)
6.16595001861479e+03	(-1.80874482882190e+01dB,-7.00593688868400e+01°)
6.30957344480190e+03	(-1.82646409901063e+01dB,-6.96316733072105e+01°)
6.45654229034652e+03	(-1.84408924295928e+01dB,-6.91963857821649e+01°)
6.60693448007592e+03	(-1.86161695068572e+01dB,-6.87534707439120e+01°)
6.76082975391978e+03	(-1.87904384383268e+01dB,-6.83028989828034e+01°)
6.91830970918932e+03	(-1.89636647830542e+01dB,-6.78446480272940e+01°)
7.07945784384134e+03	(-1.91358134767166e+01dB,-6.73787025846333e+01°)
7.24435960074986e+03	(-1.93068488650648e+01dB,-6.69050549025258e+01°)
7.41310241300913e+03	(-1.94767347403921e+01dB,-6.64237051146328e+01°)
7.58577575029179e+03	(-1.96454343916201e+01dB,-6.59346617162996e+01°)
7.76247116628687e+03	(-1.98129106510978e+01dB,-6.54379419161013e+01°)
7.94328234724277e+03	(-1.99791259466879e+01dB,-6.49335719907461e+01°)
8.12830516164094e+03	(-2.01440423621837e+01dB,-6.44215876739677e+01°)
8.31763771102666e+03	(-2.03076217042316e+01dB,-6.39020345568750e+01°)
8.51138038202371e+03	(-2.04698255676674e+01dB,-6.33749683762237e+01°)
8.70963589956075e+03	(-2.06306154155158e+01dB,-6.28404554223325e+01°)
8.91250938133740e+03	(-2.07899526486985e+01dB,-6.22985727168427e+01°)
9.12010839355904e+03	(-2.09477987026443e+01dB,-6.17494084540949e+01°)
9.33254300796985e+03	(-2.11041151305737e+01dB,-6.11930621777575e+01°)
9.54992586021430e+03	(-2.12588636951292e+01dB,-6.06296449848870e+01°)
9.77237220955805e+03	(-2.14120064784969e+01dB,-6.00592798513431e+01°)
