Freq.	(V(V)/V(I))*-1000
1.00000000000000e+01	(3.39579473455408e+01dB,-4.35145976377744e+01°)
1.00925288607668e+01	(3.39198126107573e+01dB,-4.37780067329509e+01°)
1.01859138805412e+01	(3.38813101186388e+01dB,-4.40415164134773e+01°)
1.02801629812647e+01	(3.38424396154874e+01dB,-4.43051043621145e+01°)
1.03752841581801e+01	(3.38032009098497e+01dB,-4.45687482278550e+01°)
1.04712854805090e+01	(3.37635938726235e+01dB,-4.48324256350601e+01°)
1.05681750921366e+01	(3.37236184371479e+01dB,-4.50961141932375e+01°)
1.06659612123026e+01	(3.36832745992653e+01dB,-4.53597915063069e+01°)
1.07646521362984e+01	(3.36425624173031e+01dB,-4.56234351822167e+01°)
1.08642562361707e+01	(3.36014820120465e+01dB,-4.58870228423915e+01°)
1.09647819614319e+01	(3.35600335666490e+01dB,-4.61505321310945e+01°)
1.10662378397767e+01	(3.35182173265258e+01dB,-4.64139407251017e+01°)
1.11686324778056e+01	(3.34760335991592e+01dB,-4.66772263429362e+01°)
1.12719745617551e+01	(3.34334827539178e+01dB,-4.69403667543103e+01°)
1.13762728582343e+01	(3.33905652217815e+01dB,-4.72033397894104e+01°)
1.14815362149688e+01	(3.33472814950837e+01dB,-4.74661233481834e+01°)
1.15877735615513e+01	(3.33036321271492e+01dB,-4.77286954095156e+01°)
1.16949939101987e+01	(3.32596177319299e+01dB,-4.79910340403665e+01°)
1.18032063565173e+01	(3.32152389836058e+01dB,-4.82531174046096e+01°)
1.19124200802738e+01	(3.31704966161233e+01dB,-4.85149237723060e+01°)
1.20226443461742e+01	(3.31253914227110e+01dB,-4.87764315280720e+01°)
1.21338885046498e+01	(3.30799242553486e+01dB,-4.90376191801526e+01°)
1.22461619926505e+01	(3.30340960242105e+01dB,-4.92984653686776e+01°)
1.23594743344451e+01	(3.29879076970559e+01dB,-4.95589488743990e+01°)
1.24738351424295e+01	(3.29413602985987e+01dB,-4.98190486266691e+01°)
1.25892541179417e+01	(3.28944549098365e+01dB,-5.00787437118555e+01°)
1.27057410520854e+01	(3.28471926673451e+01dB,-5.03380133811512e+01°)
1.28233058265602e+01	(3.27995747625388e+01dB,-5.05968370585195e+01°)
1.29419584144999e+01	(3.27516024409257e+01dB,-5.08551943482545e+01°)
1.30617088813185e+01	(3.27032770012612e+01dB,-5.11130650425421e+01°)
1.31825673855641e+01	(3.26545997947716e+01dB,-5.13704291287302e+01°)
1.33045441797810e+01	(3.26055722242587e+01dB,-5.16272667963814e+01°)
1.34276496113787e+01	(3.25561957432282e+01dB,-5.18835584443707e+01°)
1.35518941235104e+01	(3.25064718549875e+01dB,-5.21392846874060e+01°)
1.36772882559585e+01	(3.24564021116984e+01dB,-5.23944263626539e+01°)
1.38038426460289e+01	(3.24059881134182e+01dB,-5.26489645360516e+01°)
1.39315680294531e+01	(3.23552315071241e+01dB,-5.29028805084145e+01°)
1.40604752412992e+01	(3.23041339857054e+01dB,-5.31561558212009e+01°)
1.41905752168910e+01	(3.22526972869299e+01dB,-5.34087722624251e+01°)
1.43218789927355e+01	(3.22009231924235e+01dB,-5.36607118718536e+01°)
1.44543977074593e+01	(3.21488135265776e+01dB,-5.39119569463776e+01°)
1.45881426027535e+01	(3.20963701555211e+01dB,-5.41624900449859e+01°)
1.47231250243272e+01	(3.20435949859660e+01dB,-5.44122939934372e+01°)
1.48593564228701e+01	(3.19904899641503e+01dB,-5.46613518889286e+01°)
1.49968483550238e+01	(3.19370570746955e+01dB,-5.49096471043435e+01°)
1.51356124843621e+01	(3.18832983394897e+01dB,-5.51571632922940e+01°)
1.52756605823808e+01	(3.18292158165425e+01dB,-5.54038843890349e+01°)
1.54170045294957e+01	(3.17748115988235e+01dB,-5.56497946179723e+01°)
1.55596563160508e+01	(3.17200878131338e+01dB,-5.58948784931111e+01°)
1.57036280433356e+01	(3.16650466189165e+01dB,-5.61391208221705e+01°)
1.58489319246112e+01	(3.16096902071122e+01dB,-5.63825067094548e+01°)
1.59955802861468e+01	(3.15540207989651e+01dB,-5.66250215586259e+01°)
1.61435855682649e+01	(3.14980406448730e+01dB,-5.68666510750386e+01°)
1.62929603263973e+01	(3.14417520231714e+01dB,-5.71073812679573e+01°)
1.64437172321494e+01	(3.13851572390314e+01dB,-5.73471984526837e+01°)
1.65958690743757e+01	(3.13282586231990e+01dB,-5.75860892521162e+01°)
1.67494287602645e+01	(3.12710585308720e+01dB,-5.78240405984453e+01°)
1.69044093164327e+01	(3.12135593405240e+01dB,-5.80610397344270e+01°)
1.70608238900313e+01	(3.11557634527319e+01dB,-5.82970742144568e+01°)
1.72186857498602e+01	(3.10976732890179e+01dB,-5.85321319054348e+01°)
