Freq.	(V(V)/V(I))*-1000
1.00000000000000e+01	(-7.23176252383644e+01dB,5.12945111185848e+01°)
1.00925288607668e+01	(-7.22751889022779e+01dB,5.10753851980453e+01°)
1.01859138805412e+01	(-7.22331096858796e+01dB,5.08565630893186e+01°)
1.02801629812647e+01	(-7.21913878392177e+01dB,5.06380701637976e+01°)
1.03752841581801e+01	(-7.21500231629399e+01dB,5.04199312599575e+01°)
1.04712854805090e+01	(-7.21090157026466e+01dB,5.02021753843792e+01°)
1.05681750921366e+01	(-7.20683653126203e+01dB,4.99848241735048e+01°)
1.06659612123026e+01	(-7.20280718497073e+01dB,4.97679075631543e+01°)
1.07646521362984e+01	(-7.19881348481140e+01dB,4.95514498404753e+01°)
1.08642562361707e+01	(-7.19485543225796e+01dB,4.93354769925638e+01°)
1.09647819614319e+01	(-7.19093293197273e+01dB,4.91200172742110e+01°)
1.10662378397767e+01	(-7.18704600664773e+01dB,4.89050942685705e+01°)
1.11686324778056e+01	(-7.18319454388222e+01dB,4.86907345051940e+01°)
1.12719745617551e+01	(-7.17937852131607e+01dB,4.84769651689343e+01°)
1.13762728582343e+01	(-7.17559785035279e+01dB,4.82638131630454e+01°)
1.14815362149688e+01	(-7.17185246456361e+01dB,4.80513012772692e+01°)
1.15877735615513e+01	(-7.16814227186541e+01dB,4.78394584386821e+01°)
1.16949939101987e+01	(-7.16446722085658e+01dB,4.76283092409587e+01°)
1.18032063565173e+01	(-7.16082717783484e+01dB,4.74178780296944e+01°)
1.19124200802738e+01	(-7.15722206765182e+01dB,4.72081947867412e+01°)
1.20226443461742e+01	(-7.15365178439850e+01dB,4.69992805146008e+01°)
1.21338885046498e+01	(-7.15011621615940e+01dB,4.67911645663986e+01°)
1.22461619926505e+01	(-7.14661523121837e+01dB,4.65838693247354e+01°)
1.23594743344451e+01	(-7.14314872156894e+01dB,4.63774252411383e+01°)
1.24738351424295e+01	(-7.13971653876692e+01dB,4.61718498672320e+01°)
1.25892541179417e+01	(-7.13631858437704e+01dB,4.59671745117490e+01°)
1.27057410520854e+01	(-7.13295466699618e+01dB,4.57634231495281e+01°)
1.28233058265602e+01	(-7.12962465456597e+01dB,4.55606172817958e+01°)
1.29419584144999e+01	(-7.12632840874606e+01dB,4.53587866931588e+01°)
1.30617088813185e+01	(-7.12306576349979e+01dB,4.51579507360170e+01°)
1.31825673855641e+01	(-7.11983651506909e+01dB,4.49581394170307e+01°)
1.33045441797810e+01	(-7.11664053531886e+01dB,4.47593699960773e+01°)
1.34276496113787e+01	(-7.11347765656367e+01dB,4.45616736498939e+01°)
1.35518941235104e+01	(-7.11034765762315e+01dB,4.43650701108685e+01°)
1.36772882559585e+01	(-7.10725034092203e+01dB,4.41695836453329e+01°)
1.38038426460289e+01	(-7.10418558445729e+01dB,4.39752373676643e+01°)
1.39315680294531e+01	(-7.10115313151115e+01dB,4.37820563240747e+01°)
1.40604752412992e+01	(-7.09815275172849e+01dB,4.35900624129795e+01°)
1.41905752168910e+01	(-7.09518430860494e+01dB,4.33992786637435e+01°)
1.43218789927355e+01	(-7.09224755167029e+01dB,4.32097267383128e+01°)
1.44543977074593e+01	(-7.08934225239819e+01dB,4.30214310048782e+01°)
1.45881426027535e+01	(-7.08646818248074e+01dB,4.28344116933337e+01°)
1.47231250243272e+01	(-7.08362511405512e+01dB,4.26486919199114e+01°)
1.48593564228701e+01	(-7.08081285098418e+01dB,4.24642916291533e+01°)
1.49968483550238e+01	(-7.07803110310322e+01dB,4.22812344353568e+01°)
1.51356124843621e+01	(-7.07527965357861e+01dB,4.20995410221072e+01°)
1.52756605823808e+01	(-7.07255827721918e+01dB,4.19192326336929e+01°)
1.54170045294957e+01	(-7.06986668400469e+01dB,4.17403278134680e+01°)
1.55596563160508e+01	(-7.06720464842779e+01dB,4.15628499753639e+01°)
1.57036280433356e+01	(-7.06457188444272e+01dB,4.13868179266677e+01°)
1.58489319246112e+01	(-7.06196816598782e+01dB,4.12122513275050e+01°)
1.59955802861468e+01	(-7.05939315268290e+01dB,4.10391681086109e+01°)
1.61435855682649e+01	(-7.05684666307324e+01dB,4.08675921293479e+01°)
1.62929603263973e+01	(-7.05432838489691e+01dB,4.06975371299559e+01°)
1.64437172321494e+01	(-7.05183803109946e+01dB,4.05290274628535e+01°)
1.65958690743757e+01	(-7.04937531540538e+01dB,4.03620778277039e+01°)
1.67494287602645e+01	(-7.04693995283381e+01dB,4.01967067801753e+01°)
1.69044093164327e+01	(-7.04453171043428e+01dB,4.00329327097959e+01°)
1.70608238900313e+01	(-7.04215020442080e+01dB,3.98707743988324e+01°)
1.72186857498602e+01	(-7.03979524488946e+01dB,3.97102500260246e+01°)
1.73780082874939e+01	(-7.03746646982698e+01dB,3.95513711878968e+01°)
1.75388050184177e+01	(-7.03516359111153e+01dB,3.93941632540725e+01°)
1.77010895831743e+01	(-7.03288629784673e+01dB,3.92386365998051e+01°)
1.78648757485206e+01	(-7.03063430211143e+01dB,3.90848084356298e+01°)
1.80301774085958e+01	(-7.02840728776450e+01dB,3.89326954240509e+01°)
1.81970085860999e+01	(-7.02620495233099e+01dB,3.87823129536657e+01°)
1.83653834334836e+01	(-7.02402699228258e+01dB,3.86336767613898e+01°)
1.85353162341482e+01	(-7.02187308782156e+01dB,3.84868020188175e+01°)
1.87068214036581e+01	(-7.01974290195763e+01dB,3.83417032414440e+01°)
1.88799134909631e+01	(-7.01763615414727e+01dB,3.81983971539857e+01°)
1.90546071796326e+01	(-7.01555248035606e+01dB,3.80568938290620e+01°)
1.92309172891017e+01	(-7.01349161873818e+01dB,3.79172104823007e+01°)
1.94088587759279e+01	(-7.01145317820675e+01dB,3.77793591738756e+01°)
1.95884467350600e+01	(-7.00943687821739e+01dB,3.76433556177430e+01°)
1.97696964011187e+01	(-7.00744236842152e+01dB,3.75092107816224e+01°)
1.99526231496889e+01	(-7.00546936893783e+01dB,3.73769365997483e+01°)
2.01372424986240e+01	(-7.00351750329662e+01dB,3.72465489066353e+01°)
2.03235701093624e+01	(-7.00158643915959e+01dB,3.71180559922692e+01°)
2.05116217882558e+01	(-6.99967584639156e+01dB,3.69914740605247e+01°)
2.07014134879106e+01	(-6.99778545443988e+01dB,3.68668112743581e+01°)
2.08929613085406e+01	(-6.99591485588761e+01dB,3.67440844101574e+01°)
2.10862814993331e+01	(-6.99406373370889e+01dB,3.66232996491964e+01°)
2.12813904598273e+01	(-6.99223175617782e+01dB,3.65044689267039e+01°)
2.14783047413055e+01	(-6.99041859104062e+01dB,3.63876030190171e+01°)
2.16770410481971e+01	(-6.98862390653987e+01dB,3.62727156665817e+01°)
2.18776162394957e+01	(-6.98684736736735e+01dB,3.61598127638906e+01°)
2.20800473301892e+01	(-6.98508858346917e+01dB,3.60489051875493e+01°)
2.22843514927032e+01	(-6.98334728945196e+01dB,3.59400024049841e+01°)
2.24905460583580e+01	(-6.98162309395629e+01dB,3.58331158658981e+01°)
2.26986485188384e+01	(-6.97991567038892e+01dB,3.57282551627939e+01°)
2.29086765276779e+01	(-6.97822469258722e+01dB,3.56254260924071e+01°)
2.31206479017561e+01	(-6.97654979900329e+01dB,3.55246392358409e+01°)
2.33345806228102e+01	(-6.97489064964522e+01dB,3.54259037182056e+01°)
2.35504928389603e+01	(-6.97324691042825e+01dB,3.53292252600867e+01°)
2.37684028662490e+01	(-6.97161823127850e+01dB,3.52346169008273e+01°)
2.39883291901951e+01	(-6.97000426008370e+01dB,3.51420787235897e+01°)
2.42102904673620e+01	(-6.96840468558404e+01dB,3.50516253856742e+01°)
2.44343055269399e+01	(-6.96681914970637e+01dB,3.49632622225158e+01°)
2.46603933723436e+01	(-6.96524726657525e+01dB,3.48769922404730e+01°)
2.48885731828241e+01	(-6.96368880978614e+01dB,3.47928278717910e+01°)
2.51188643150960e+01	(-6.96214329756874e+01dB,3.47107749016610e+01°)
2.53512863049793e+01	(-6.96061045575068e+01dB,3.46308372556481e+01°)
2.55858588690567e+01	(-6.95908988433616e+01dB,3.45530231043983e+01°)
2.58226019063462e+01	(-6.95758134771773e+01dB,3.44773367716748e+01°)
2.60615354999892e+01	(-6.95608438970943e+01dB,3.44037854988891e+01°)
2.63026799189541e+01	(-6.95459870394929e+01dB,3.43323742515295e+01°)
2.65460556197557e+01	(-6.95312400307690e+01dB,3.42631098494282e+01°)
2.67916832481906e+01	(-6.95165988054507e+01dB,3.41959951959053e+01°)
2.70395836410887e+01	(-6.95020599255600e+01dB,3.41310376111736e+01°)
2.72897778280807e+01	(-6.94876203965426e+01dB,3.40682407592659e+01°)
2.75422870333820e+01	(-6.94732761133347e+01dB,3.40076096177952e+01°)
2.77971326775932e+01	(-6.94590243386373e+01dB,3.39491493065432e+01°)
2.80543363795174e+01	(-6.94448611187552e+01dB,3.38928622376376e+01°)
2.83139199579941e+01	(-6.94307832515931e+01dB,3.38387533181086e+01°)
2.85759054337498e+01	(-6.94167873578767e+01dB,3.37868285976722e+01°)
2.88403150312664e+01	(-6.94028698855058e+01dB,3.37370889936021e+01°)
2.91071711806664e+01	(-6.93890276939617e+01dB,3.36895386438644e+01°)
2.93764965196156e+01	(-6.93752568216158e+01dB,3.36441833222775e+01°)
2.96483138952438e+01	(-6.93615543776555e+01dB,3.36010225650970e+01°)
2.99226463660822e+01	(-6.93479161809005e+01dB,3.35600622394007e+01°)
3.01995172040205e+01	(-6.93343400708467e+01dB,3.35213039836880e+01°)
3.04789498962802e+01	(-6.93208214595283e+01dB,3.34847508498686e+01°)
3.07609681474074e+01	(-6.93073574871388e+01dB,3.34504053416090e+01°)
3.10455958812839e+01	(-6.92939441098367e+01dB,3.34182707990772e+01°)
3.13328572431562e+01	(-6.92805789788940e+01dB,3.33883471218477e+01°)
3.16227766016842e+01	(-6.92672576793075e+01dB,3.33606373560911e+01°)
3.19153785510080e+01	(-6.92539778145443e+01dB,3.33351461485861e+01°)
3.22106879128347e+01	(-6.92407348904854e+01dB,3.33118719510390e+01°)
3.25087297385438e+01	(-6.92275262390729e+01dB,3.32908176331188e+01°)
3.28095293113123e+01	(-6.92143477684449e+01dB,3.32719832453584e+01°)
3.31131121482595e+01	(-6.92011969540998e+01dB,3.32553737826038e+01°)
